Table 1,ANZSOC Division,Year Month,Victimisations, Month Year,ANZSOC Group,ANZSOC Subdivision,Area Unit,Location Type,Locn Type Division,Meshblock,Number of Records,Occurrence Day Of Week,Occurrence Hour Of Day,Territorial Authority,Weapon,Year Month (copy 2)
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Hagley Park.,.,Community Location,2677600,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Hagley Park.,.,Community Location,2678201,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,"Motor vehicle theft and related offences, nfd",Motor vehicle theft and related offences,St Albans East.,.,Community Location,2687300,1,Friday,21,Christchurch City.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Ellerslie South.,.,Community Location,612200,1,Friday,21,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Sherbourne.,.,Community Location,546000,1,Friday,21,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Mt St John.,.,Community Location,614802,1,Friday,21,Auckland.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Kenmure.,.,Community Location,2916600,1,Friday,21,Dunedin City.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Herekino.,.,Community Location,11300,1,Friday,21,Far North District.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,University.,.,Community Location,889403,1,Friday,21,Hamilton City.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,"Motor vehicle theft and related offences, nfd",Motor vehicle theft and related offences,Hoon Hay.,.,Community Location,2633600,1,Friday,21,Christchurch City.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Maungawhau.,.,Community Location,555100,1,Friday,21,Auckland.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Sumner.,.,Community Location,2703900,1,Friday,21,Christchurch City.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Rawene.,.,Community Location,23700,1,Friday,21,Far North District.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Palmerston North Central.,.,Community Location,1831400,1,Friday,21,Palmerston North City.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Linwood.,.,Community Location,2609100,1,Friday,21,Christchurch City.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Te Mata.,.,Community Location,1509200,1,Friday,21,Hastings District.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Kawerau.,.,Community Location,1316700,1,Friday,21,Kawerau District.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Fordlands.,.,Community Location,1228300,1,Friday,21,Rotorua District.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Otangarei.,.,Community Location,93000,1,Friday,21,Whangarei District.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,"Motor vehicle theft and related offences, nfd",Motor vehicle theft and related offences,Nelson Park.,.,Community Location,1429300,1,Friday,21,Napier City.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,"Motor vehicle theft and related offences, nfd",Motor vehicle theft and related offences,Maitlands.,.,Community Location,2339400,1,Friday,21,Nelson City.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,West End.,.,Community Location,1809400,1,Friday,21,Palmerston North City.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Auckland Central West.,.,Community Location,434402,1,Friday,21,Auckland.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Fairdene.,.,Community Location,232800,1,Friday,21,Auckland.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Mangere Central.,.,Community Location,740500,1,Friday,21,Auckland.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Hamilton East.,.,Community Location,894100,1,Friday,21,Hamilton City.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Cannons Creek North.,.,Community Location,2048300,1,Friday,21,Porirua City.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,"Motor vehicle theft and related offences, nfd",Motor vehicle theft and related offences,Palmerston North Central.,.,Community Location,1827600,1,Friday,21,Palmerston North City.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Balmoral.,.,Community Location,549300,1,Friday,21,Auckland.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Shirley East.,.,Community Location,2598600,1,Friday,22,Christchurch City.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Feilding East.,.,Community Location,1764200,1,Friday,22,Manawatu District.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Glen Avon.,.,Community Location,1559500,1,Friday,22,New Plymouth District.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Lambton.,.,Community Location,2127500,1,Friday,22,Wellington City.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,"Motor vehicle theft and related offences, nfd",Motor vehicle theft and related offences,Darfield.,.,Community Location,2469800,1,Friday,22,Selwyn District.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Fairview.,.,Community Location,179211,1,Friday,22,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Kingsland.,.,Community Location,531600,1,Friday,22,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,999999,.,Community Location,-67,1,Friday,22,Auckland.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Mt Wellington South.,.,Community Location,637500,1,Friday,22,Auckland.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Te Papapa.,.,Community Location,606700,1,Friday,22,Auckland.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Fendalton.,.,Community Location,2544100,1,Friday,22,Christchurch City.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Kaitaia West.,.,Community Location,15500,1,Friday,22,Far North District.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Dinsdale North.,.,Community Location,917003,1,Friday,22,Hamilton City.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Otaki.,.,Community Location,1880500,1,Friday,22,Kapiti Coast District.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Masterton West.,.,Community Location,2238800,1,Friday,22,Masterton District.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Poets Block.,.,Community Location,1888900,1,Friday,22,Upper Hutt City.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Waerenga.,.,Community Location,938603,1,Friday,22,Waikato District.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,"Motor vehicle theft and related offences, nfd",Motor vehicle theft and related offences,Wiri.,.,Community Location,780506,1,Friday,22,Auckland.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,"Motor vehicle theft and related offences, nfd",Motor vehicle theft and related offences,Swayne.,.,Community Location,959113,1,Friday,22,Waipa District.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Auckland Central West.,.,Community Location,432700,1,Friday,22,Auckland.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Mission Bay.,.,Community Location,500600,1,Friday,22,Auckland.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Puhinui South.,.,Community Location,674600,1,Friday,22,Auckland.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Casebrook.,.,Community Location,2511507,1,Friday,22,Christchurch City.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Redwood South.,.,Community Location,2508000,1,Friday,22,Christchurch City.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Kaitaia West.,.,Community Location,15800,1,Friday,22,Far North District.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Te Rapa.,.,Community Location,977301,1,Friday,22,Hamilton City.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,999999,.,Community Location,-207,1,Friday,22,New Plymouth District.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,"Motor vehicle theft and related offences, nfd",Motor vehicle theft and related offences,Papatoetoe North.,.,Community Location,661100,1,Friday,22,Auckland.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,"Motor vehicle theft and related offences, nfd",Motor vehicle theft and related offences,Avon Loop.,.,Community Location,2656100,1,Friday,22,Christchurch City.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Ranui Domain.,.,Community Location,236004,1,Friday,22,Auckland.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Wigram.,.,Community Location,2481000,1,Friday,22,Christchurch City.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Motutangi-Kareponia.,.,Community Location,12701,1,Friday,22,Far North District.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Dinsdale North.,.,Community Location,978119,1,Friday,22,Hamilton City.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Taupo Central.,.,Community Location,1274300,1,Friday,22,Taupo District.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Newtown West.,.,Community Location,2163500,1,Friday,22,Wellington City.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,"Motor vehicle theft and related offences, nfd",Motor vehicle theft and related offences,Wharenui.,.,Community Location,2540700,1,Friday,22,Christchurch City.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Raureka.,.,Community Location,1481602,1,Friday,22,Hastings District.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Blockhouse Bay.,.,Community Location,368000,1,Friday,23,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Takanini North.,.,Community Location,768100,1,Friday,23,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Barrington North.,.,Community Location,2641000,1,Friday,23,Christchurch City.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Newstead.,.,Community Location,954211,1,Friday,23,Hamilton City.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,"Motor vehicle theft and related offences, nfd",Motor vehicle theft and related offences,Glenavon.,.,Community Location,379700,1,Friday,23,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,"Motor vehicle theft and related offences, nfd",Motor vehicle theft and related offences,Hillsborough East.,.,Community Location,567900,1,Friday,23,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Maungawhau.,.,Community Location,553600,1,Friday,23,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Maungawhau.,.,Community Location,555300,1,Friday,23,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Clendon South.,.,Community Location,774449,1,Friday,23,Auckland.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Mangere South.,.,Community Location,728807,1,Friday,23,Auckland.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Meadowbank North.,.,Community Location,458800,1,Friday,23,Auckland.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Aorangi.,.,Community Location,2669200,1,Friday,23,Christchurch City.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Beerescourt.,.,Community Location,901000,1,Friday,23,Hamilton City.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Flagstaff.,.,Community Location,952009,1,Friday,23,Hamilton City.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Feilding West.,.,Community Location,1767500,1,Friday,23,Manawatu District.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Ngongotaha South.,.,Community Location,1248000,1,Friday,23,Rotorua District.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,"Motor vehicle theft and related offences, nfd",Motor vehicle theft and related offences,West Invercargill.,.,Community Location,3105900,1,Friday,23,Invercargill City.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,"Motor vehicle theft and related offences, nfd",Motor vehicle theft and related offences,Alicetown.,.,Community Location,1923900,1,Friday,23,Lower Hutt City.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,December 2023,1,December 2023,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Forrester Park.,.,Community Location,2877400,1,Friday,23,Dunedin City.,Not Applicable,December 2023
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Takanini South.,.,Community Location,765403,1,Friday,23,Auckland.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Linwood.,.,Community Location,2611300,1,Friday,23,Christchurch City.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Merivale.,.,Community Location,2676400,1,Friday,23,Christchurch City.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Gisborne Central.,.,Community Location,1371700,1,Friday,23,Gisborne District.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Brymer.,.,Community Location,976732,1,Friday,23,Hamilton City.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Hastings Central.,.,Community Location,1490600,1,Friday,23,Hastings District.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Pokere-Waihaha.,.,Community Location,46500,1,Friday,23,Far North District.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Feilding West.,.,Community Location,1766100,1,Friday,23,Manawatu District.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Balgownie.,.,Community Location,1716500,1,Friday,23,Wanganui District.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Avondale South.,.,Community Location,371700,1,Friday,23,Auckland.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Kingsland.,.,Community Location,532300,1,Friday,23,Auckland.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Pukete West.,.,Community Location,977309,1,Friday,23,Hamilton City.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,"Motor vehicle theft and related offences, nfd",Motor vehicle theft and related offences,Onehunga South East.,.,Community Location,601700,1,Friday,23,Auckland.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Kingsland.,.,Community Location,532300,1,Friday,23,Auckland.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Mission Bay.,.,Community Location,502900,1,Friday,23,Auckland.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Waimumu South.,.,Community Location,228000,1,Friday,23,Auckland.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Riccarton West.,.,Community Location,2471700,1,Friday,23,Christchurch City.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Hamilton Central.,.,Community Location,909302,1,Friday,23,Hamilton City.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,999999,.,Community Location,-36,1,Friday,99,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Balmoral.,.,Community Location,547900,1,Friday,99,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Bledisloe Park.,.,Community Location,823700,1,Friday,99,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Glen Innes North.,.,Community Location,467200,1,Friday,99,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Glenavon.,.,Community Location,381101,1,Friday,99,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Henderson North.,.,Community Location,239804,1,Friday,99,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Henderson North.,.,Community Location,239900,1,Friday,99,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Hillpark.,.,Community Location,754400,1,Friday,99,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Homai West.,.,Community Location,777300,1,Friday,99,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Leabank.,.,Community Location,772903,1,Friday,99,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Lynnmall.,.,Community Location,266000,1,Friday,99,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Manurewa Central.,.,Community Location,752000,1,Friday,99,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,McLaren Park.,.,Community Location,281300,1,Friday,99,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Mt Wellington Domain.,.,Community Location,628203,1,Friday,99,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Oratia.,.,Community Location,278302,1,Friday,99,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Ormiston.,.,Community Location,713100,1,Friday,99,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Papakura East.,.,Community Location,799123,1,Friday,99,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,"Theft, nec",Other Theft,Mangere South.,.,Community Location,727100,1,Monday,0,Auckland.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,"Theft, nec",Other Theft,Spreydon.,.,Community Location,2644400,1,Monday,0,Christchurch City.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,"Theft, nec",Other Theft,Taupo Central.,.,Community Location,1268300,1,Monday,0,Taupo District.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,"Theft, nec",Other Theft,Waipu.,.,Community Location,80900,1,Monday,0,Whangarei District.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,"Theft, nec",Other Theft,Auckland Central West.,.,Community Location,434802,1,Monday,1,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,"Theft, nec",Other Theft,Hillpark.,.,Community Location,757100,1,Monday,1,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,"Theft, nec",Other Theft,999999,.,Community Location,-19,1,Monday,1,Far North District.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,"Theft, nec",Other Theft,Kumeu West.,.,Community Location,216102,1,Monday,1,Auckland.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,"Theft, nec",Other Theft,Northcote South.,.,Community Location,361400,1,Monday,1,Auckland.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,"Theft, nec",Other Theft,Auckland Central West.,.,Community Location,433700,1,Monday,1,Auckland.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,"Theft, nec",Other Theft,Maungawhau.,.,Community Location,557000,1,Monday,3,Auckland.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,"Theft, nec",Other Theft,Woodend.,.,Community Location,2447608,1,Monday,4,Waimakariri District.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,"Theft, nec",Other Theft,Merrin.,.,Community Location,2530102,1,Monday,4,Christchurch City.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,"Theft, nec",Other Theft,Windsor Park.,.,Community Location,180826,1,Monday,5,Auckland.,Not Applicable,November 2023
1 Victimisation Time and Place,Theft,April 2024,1,April 2024,"Theft, nec",Other Theft,Rolleston North East.,.,Community Location,2719302,1,Monday,5,Selwyn District.,Not Applicable,April 2024
1 Victimisation Time and Place,Theft,December 2024,1,December 2024,"Theft, nec",Other Theft,Tauranga Hospital.,.,Community Location,1170400,1,Monday,5,Tauranga City.,Not Applicable,December 2024
1 Victimisation Time and Place,Theft,November 2023,1,November 2023,Theft of other vehicles,Other Theft,Epsom North.,.,Community Location,443500,1,Monday,7,Auckland.,Not Applicable,November 2023
